Altium Designer Pick and Place Locations
C:\Users\ElHares\Desktop\orig\P2G\Fabrication Output\Generates pick and place files\Pick Place for Position2Go_V1.2.txt

========================================================================================================================
File Design Information:

Date:       09.04.19
Time:       10:43
Revision:   Not in VersionControl
Variant:    No variations
Units used: mm

Designator Comment               Layer       Footprint                      Center-X(mm) Center-Y(mm) Rotation Description             Ref-X(mm) Ref-Y(mm) 
R_MOD      RES-100R-50V-1%-0603  TopLayer    24GHZ_WILKINSON_R              30.6070      13.2875      270      Resistor                30.6070   13.2875   
R_34       33R                   TopLayer    R_0201                         54.4830      29.7688      90       ""                      54.4830   29.7688   
R52        0R                    TopLayer    R_0201                         17.2750      42.4125      0        ""                      17.2750   42.4125   
U23        LP5912_3.3V           TopLayer    DRV6_1P6X1                     26.4100      16.6365      360      ""                      26.4100   16.6365   
C64        10UF                  TopLayer    0402_DURAC                     27.5480      43.6715      90       ""                      27.5480   43.6715   
C65        10UF                  TopLayer    0402_DURAC                     24.8670      43.7495      90       ""                      24.8670   43.7495   
R73        0R                    TopLayer    0603                           22.7790      43.1885      0        "0R 0603"               22.7790   43.1885   
U28        LP590-3.3V            TopLayer    YKE4                           26.1950      43.4235      180      ""                      26.1950   43.4235   
R58        10k                   TopLayer    R_0201                         32.7000      41.4825      0        ""                      32.7000   41.4825   
R54        10k                   TopLayer    R_0201                         31.3250      42.2375      0        ""                      31.3250   42.2375   
C54        10UF                  TopLayer    0402_DURAC                     32.9200      42.2325      0        ""                      32.9200   42.2325   
C36        10UF                  TopLayer    0402_DURAC                     25.9310      26.4055      270      ""                      25.9310   26.4055   
J3         ZX62-AB-5PA           TopLayer    MICRO_AB_ZX62                  2.4950       34.9525      180      ""                      3.7700    34.9525   
J4         ZX62-AB-5PA           TopLayer    MICRO_AB_ZX62                  58.2050      43.4425      0        ""                      56.9300   43.4425   
U7         LMX2491               TopLayer    VFQN_24                        38.4000      8.9125       270      ""                      38.4000   8.9125    
D7         BAS3010A              TopLayer    SOD323                         50.2000      41.9125      0        ""                      49.0570   41.9125   
